triad,perimeter,area,polar_moment,side_ratio,normal_coefficient
"(0, 7, 11)",0.3038886433793967,0.003664520916772517,0.010849190979946435,0.5421160710521677,0.27492161274731114
"(0, 7, 12)",0.6174767341287075,0.004393708179583007,0.05223655416704673,0.22950697225648936,0.07983818040727887
"(0, 7, 13)",0.45452775353112607,0.0019445340995011596,0.027026191291869065,0.30988601681549993,0.06521017551961127
"(0, 7, 14)",0.40036299842227796,0.0010765750472675215,0.020612452184205328,0.3505399399790233,0.04653257242696997
"(0, 7, 15)",0.5894914172439297,0.005106448527713109,0.047171686162981966,0.24238678276985862,0.10180863265488724
"(0, 7, 16)",0.2464455198235017,0.002331733353857551,0.007086109978127567,0.6323976513723825,0.26598530817490645
"(0, 7, 17)",0.22732938977289324,0.0016723925483471637,0.006199257830102945,0.5076783674138721,0.22420622693580347
"(0, 7, 18)",0.466807164707702,0.0009147766164688156,0.028681349171196763,0.3000865682213158,0.02908443604230182
"(0, 7, 19)",0.4359010681850919,0.00185006659312039,0.024695962969017334,0.32323024366926,0.06745779065169506
"(0, 8, 9)",0.5949883475100172,0.014035702594525596,0.0420783416396258,0.5140318103484003,0.2746868411898122
"(0, 8, 10)",0.655924278962998,0.014136220153660459,0.05314865143678191,0.4070020607645759,0.2276389143436229
"(0, 8, 11)",0.5552439201650075,0.010822321646230681,0.03767436094704723,0.43220835329046337,0.24320552256102734
"(0, 8, 12)",0.4951773619400974,0.001173701796718582,0.039317112549726536,0.03984121416066375,0.03316323012058291
"(0, 8, 13)",0.9331221305944724,0.006915812742625382,0.1085939844767692,0.4857702597100175,0.055028397404313985
"(0, 8, 14)",0.8610123936709371,0.014829288896665736,0.09135797154875383,0.47653943694464185,0.13858688679750603
"(0, 8, 15)",0.5179335028060055,0.005025621462739935,0.03807583317794783,0.18216081656354166,0.129796321196707
"(0, 8, 16)",0.652804460845294,0.012075638928983869,0.05392718595929821,0.35809602064264273,0.19631998427658703
"(0, 8, 17)",0.5472084044197911,0.006421189924368926,0.04165662342207248,0.2107433937403156,0.1485698265419257
"(0, 8, 18)",0.5108562845117,0.0066979655420631255,0.03221103518746462,0.4298307512070189,0.17781403895330442
"(0, 8, 19)",0.577314607014196,0.013822674077741863,0.03850741392982568,0.6160995175970059,0.2873343810353042
"(0, 9, 10)",0.5696909417110237,0.012958076314490327,0.03854110205484893,0.5254442564650467,0.2766193292227219
"(0, 9, 11)",0.5807973251558649,0.011929570448315307,0.04148608302767652,0.4223412486892331,0.2450169953138652
"(0, 9, 12)",0.603952947419256,0.014972523057875109,0.04285196420548101,0.550864587916213,0.28438677687524694
"(0, 9, 13)",0.9019897979109547,0.007047979475354008,0.10137228319533409,0.5029274630975354,0.06001806624406465
"(0, 9, 14)",0.8531701542125757,0.002844201129479889,0.09105781995152906,0.46822180571545957,0.027071331332371218
"(0, 9, 15)",0.6185812437289372,0.017193746187013713,0.0435780597173707,0.6933680586540732,0.31131327142043796
"(0, 9, 16)",0.656560100182001,0.0072965604131448635,0.055484781291763194,0.336858066938671,0.11727078383111719
"(0, 9, 17)",0.4890861794245591,0.005360313866668498,0.03269119624954632,0.23298242028834265,0.15525302014005277
"(0, 9, 18)",0.4646685634003845,0.0035109079268388654,0.02798453441341729,0.32282943603468867,0.11265577909876182
"(0, 9, 19)",0.47597422183366134,0.005548829488049061,0.027966282999877776,0.43503301788945287,0.16968956372550362
"(0, 10, 11)",0.4458625338180251,0.002023594060424688,0.024774004881147983,0.47382151984920245,0.07052483116797915
"(0, 10, 12)",0.659746573824059,0.013996161818516083,0.053901267202200065,0.40179312610862683,0.22277953166217632
"(0, 10, 13)",0.6036689822676039,0.013483287888385575,0.04400675452290432,0.4624821833931453,0.25634137124098116
"(0, 10, 14)",0.5912665463084206,0.010826162984122218,0.042732555656421305,0.4390779470352611,0.21455002267641649
"(0, 10, 15)",0.6496052142672469,0.012677113505757882,0.05236738397023302,0.3995776925723554,0.2081335026767499
"(0, 10, 16)",0.4441597594991039,0.0037996862689370957,0.024285088486064102,0.4993704494189613,0.133441200233667
"(0, 10, 17)",0.2403667162369657,0.0005294848695898316,0.007232446692074121,0.4434008316234036,0.06349295095812352
"(0, 10, 18)",0.4744078761062744,0.009719763946274858,0.02587719936874273,0.6253784678712278,0.29920755505875574
"(0, 10, 19)",0.39286802118270014,0.007172835820188203,0.01732548313744632,0.7991694494268721,0.32197203331272733
"(0, 11, 12)",0.5511293350293102,0.010547081709782039,0.03711099314300758,0.43218123470308667,0.24057244024441854
"(0, 11, 13)",0.6062164082064654,0.011312449454489608,0.045967172240488796,0.38070837720734885,0.2132661339976636
"(0, 11, 14)",0.5200484196852336,0.010411034727850686,0.032434521370588665,0.48664383356382834,0.2667024172106317
"(0, 11, 15)",0.5143349801122018,0.00898585200162231,0.03206614914770043,0.4542434105498495,0.23533566886221507
"(0, 11, 16)",0.3112013377176811,0.004637563468672543,0.010777929788097312,0.9078826038474243,0.3317627136552194
"(0, 11, 17)",0.31151119760880996,0.0013245504918425457,0.012469588534562762,0.3450221564488845,0.09456747907242524
"(0, 11, 18)",0.44367264204895723,0.00840000889552666,0.022816065810763203,0.5995763676368033,0.2956480813441028
"(0, 11, 19)",0.46175114910242543,0.0074700461917496744,0.025446336697818255,0.5061593869506995,0.24273250410669656
"(0, 12, 13)",0.9318743579157021,0.007966782651121228,0.10820573670675993,0.4870942452494297,0.0635607282518862
"(0, 12, 14)",0.8581379615955311,0.01558123823787899,0.09055656601458295,0.4798509194307547,0.14659135458459036
"(0, 12, 15)",0.508979256540459,0.003923273670709013,0.03784070325117682,0.1452015180680386,0.1049226029987683
"(0, 12, 16)",0.6496034566744585,0.012271476620143724,0.05328569880206742,0.3619515330655324,0.20147482562194444
"(0, 12, 17)",0.5492623533285884,0.006401532347968766,0.042002255387890514,0.2090485823004165,0.14700932938030517
"(0, 12, 18)",0.516150259041086,0.007438616040636212,0.03258997556336649,0.45154844656619353,0.1934463152388935
"(0, 12, 19)",0.5832990579663978,0.014281268348394317,0.03925801683528362,0.6160608608971214,0.2908069947369717
"(0, 13, 14)",0.5143031412243599,0.00884789951591584,0.03289792818863061,0.39449912121483294,0.23175144286372967
"(0, 13, 15)",0.9025946073571113,0.01099547420975558,0.10104290687386094,0.5061987664651496,0.09350807446290746
"(0, 13, 16)",0.5149779094676806,0.009658975024072146,0.03181661206991995,0.47901613254708536,0.2523332387241883
"(0, 13, 17)",0.5204444824757596,0.005865566129193287,0.03739703966686933,0.21923172063170485,0.1500312531414394
"(0, 13, 18)",0.7786074946758277,0.00163343029920103,0.07639416308006439,0.4208796240881629,0.01866741000611766
"(0, 13, 19)",0.7339327215595789,0.009675083093275501,0.0673173762098174,0.4169832332379526,0.1244408076050526
"(0, 14, 15)",0.8238800518948955,0.01714749579236456,0.08263447565223003,0.5072575100895186,0.1750222845288332
"(0, 14, 16)",0.4253022858702676,0.005262098989351593,0.021781937841025965,0.5418582228316937,0.20155064787800847
"(0, 14, 17)",0.4861504602938933,0.004362196110796477,0.0324002598965924,0.22684838239046154,0.12787463359937049
"(0, 14, 18)",0.7221626234301384,0.005066695351921874,0.06513710125980893,0.45637867131630633,0.06730934996699149
