|name      |ra           |dec          |pm_ra   |pm_dec  |parallax|spect_type  |vmag |
|HIP 85355 |17 26 30.8796|+04 08 25.233|    1.25|    7.09|    2.78|K3IIvar     | 4.34|
|HIP 107348|21 44 30.6905|+17 21 00.157|    7.90|  -10.75|    3.62|G5Ib        | 4.34|
|HIP 92161 |18 47 01.2224|+18 10 52.427|   83.74|  119.01|   35.17|A5III       | 4.34|
|HIP 3031  |00 38 33.4993|+29 18 44.528| -229.41| -254.08|   19.34|G5III...    | 4.34|
|HIP 2912  |00 36 52.8390|+33 43 09.668|   15.23|   -3.56|    4.97|B5V         | 4.34|
|HIP 91971 |18 44 46.3359|+37 36 18.181|   29.26|   26.57|   21.23|Am          | 4.34|
|HIP 111022|22 29 31.8227|+47 42 24.822|   -0.60|   -3.37|    2.80|M0II        | 4.34|
|HIP 5542  |01 11 05.9307|+55 08 59.812|  226.62|  -19.34|   23.73|A7Vvar      | 4.34|
|HIP 39794 |08 07 55.8408|-68 37 01.691|  -29.88|   30.58|    5.08|B6IV        | 4.35|
|HIP 90098 |18 23 13.6206|-61 29 38.058|    0.53|    1.70|    7.76|M1III SB    | 4.35|
|HIP 31407 |06 34 58.5874|-52 58 32.284|   -7.65|   11.33|    1.85|B9III       | 4.35|
|HIP 107380|21 44 56.7878|-33 01 31.991|   31.79|  -94.00|   15.93|B9.5V       | 4.35|
|HIP 74857 |15 17 49.8449|-30 08 55.184|   -8.71|   -4.47|   10.59|K1II/III    | 4.35|
|HIP 43234 |08 48 25.9808|+05 50 16.385|  -17.51|  -29.79|    9.67|A0Vn        | 4.35|
|HIP 22509 |04 50 36.7223|+08 54 00.909|   -0.87|  -31.57|   16.84|A1Vn        | 4.35|
|HIP 14838 |03 11 37.6697|+19 43 36.112|  154.61|   -8.39|   19.44|K2IIIvar    | 4.35|
|HIP 60742 |12 26 56.3276|+28 16 07.031|  -83.41|  -80.99|   19.18|K2IIICN+... | 4.35|
|HIP 94713 |19 16 22.0954|+38 08 01.420|   -0.49|    1.23|    4.24|K0II        | 4.35|
|HIP 33449 |06 57 16.5985|+58 25 23.015|    6.58| -123.53|   19.14|G5III-IV    | 4.35|
|HIP 85822 |17 32 12.8972|+86 35 10.785|   10.54|   53.97|   17.85|A1Vn        | 4.35|
|HIP 2484  |00 31 32.5608|-62 57 29.108|   82.48|  -54.37|   23.35|B9V         | 4.36|
|HIP 3405  |00 43 21.2440|-57 27 47.151|   -5.16|   15.50|   13.57|A0IV        | 4.36|
|HIP 68862 |14 06 02.7860|-41 10 46.489|  -24.42|  -21.63|    7.31|B2V         | 4.36|
|HIP 28199 |05 57 32.2119|-35 16 59.905|   -2.65|   11.19|    3.82|B2.5IV      | 4.36|
|HIP 33347 |06 56 08.2263|-17 03 15.288|   -2.46|    1.91|    1.06|B3Ib/II     | 4.36|
|HIP 24327 |05 13 13.8850|-12 56 28.638|  -12.22|   -1.32|    5.83|B7V         | 4.36|
|HIP 22701 |04 52 53.6804|-05 27 09.921|  -18.01|   25.03|   14.39|A9IV        | 4.36|
|HIP 39863 |08 08 35.6577|-02 59 01.595|  -16.79|   -3.89|    1.76|G2Ib        | 4.36|
|HIP 96468 |19 36 43.2765|-01 17 11.582|    1.89|  -20.75|   10.61|B5III       | 4.36|
|HIP 10324 |02 13 00.0110|+08 50 48.308|  -26.23|  -14.40|    9.01|G8II:       | 4.36|
|HIP 19038 |04 04 41.6579|+22 04 55.444|   91.73|  -58.52|   18.04|K0III       | 4.36|
|HIP 16335 |03 30 34.4822|+47 59 42.619|    1.56|   18.13|    9.23|K3III       | 4.36|
|HIP 53773 |11 00 09.2458|-42 13 33.131|   23.00|    4.50|   15.99|A3IV        | 4.37|
|HIP 98412 |19 59 44.1743|-35 16 34.480|    6.02|  -25.15|    5.28|B2.5IV      | 4.37|
|HIP 29807 |06 16 33.1354|-35 08 26.634|    0.39|   87.58|   17.83|G8II        | 4.37|
|HIP 35415 |07 18 42.4879|-24 57 15.784|   -1.82|    3.74|    1.02|O9Ib        | 4.37|
|HIP 154   |00 01 57.5916|-06 00 50.298|   46.62|  -41.32|    7.86|M3III       | 4.37|
|HIP 88886 |18 08 45.4926|+20 48 52.459|   -2.71|   -6.20|    2.14|B2IV        | 4.37|
|HIP 116231|23 32 58.1881|-37 49 06.092|   96.39|   37.58|   18.28|B9.5IVMNpe. | 4.38|
|HIP 115669|23 26 02.8174|-20 38 30.700|  -50.13|  -62.97|   10.57|K4III       | 4.38|
|HIP 64238 |13 09 57.0120|-05 32 20.148|  -35.08|  -32.80|    7.86|A1V         | 4.38|
|HIP 99255 |20 08 53.3164|+77 42 40.902|   11.11|   23.72|    9.97|B9III       | 4.38|
|HIP 105319|21 19 51.8838|-53 26 57.352|  107.37|  -67.12|   33.58|A5V         | 4.39|
|HIP 8837  |01 53 38.8197|-46 18 08.807|  -92.38|  -91.46|   10.15|M4III SB    | 4.39|
|HIP 84893 |17 21 00.2103|-21 06 44.766|  262.01| -204.74|   57.48|F2/F3V      | 4.39|
|HIP 73620 |15 02 54.0700|+02 05 28.577|  -55.93|   12.94|   17.78|K0III       | 4.39|
|HIP 39311 |08 02 15.9533|+02 20 03.531|  -28.04|  105.49|   12.49|K2III       | 4.39|
|HIP 30419 |06 23 46.0977|+04 35 34.220|  -20.88|   10.75|   25.39|A5IV        | 4.39|
|HIP 26176 |05 34 49.2378|+09 29 22.507|   -1.24|   -2.49|    3.31|B0IV...     | 4.39|
|HIP 49637 |10 07 54.3188|+09 59 51.590|  -81.10|  -64.20|   11.89|K4III       | 4.39|
|HIP 82673 |16 54 00.5034|+10 09 55.596|  -53.75|  -34.68|   13.95|B8V         | 4.39|
|HIP 96837 |19 41 02.9337|+17 28 34.045|    9.06|  -33.90|    6.99|G8II        | 4.39|
|HIP 96757 |19 40 05.7825|+18 00 50.178|   15.09|  -19.72|    6.89|G0II        | 4.39|
|HIP 27913 |05 54 23.0839|+20 16 35.094| -163.17|  -98.92|  115.43|G0V         | 4.39|
|HIP 17884 |03 49 31.2854|+65 31 33.623|   -2.50|  -13.98|    3.38|M1III       | 4.39|
|HIP 93015 |18 56 57.0407|-67 14 00.726|   -7.83|   16.65|    6.00|F5Ib-II:    | 4.40|
|HIP 108431|21 57 55.0310|-54 59 33.240|   43.00|   -3.67|   17.65|F0IV        | 4.40|
|HIP 38070 |07 48 05.1749|-25 56 13.850|  -10.22|    4.92|    1.32|B1IV:nne    | 4.40|
|HIP 39906 |08 09 01.6434|-19 14 42.003|   -9.97|   -5.46|    6.90|B5V         | 4.40|
|HIP 4463  |00 57 12.4278|+23 25 03.936|  -43.72|  -46.06|   13.44|G8III-IV    | 4.40|
|HIP 32761 |06 49 51.3161|-53 37 20.972|   -2.27|   17.57|    5.90|G6II        | 4.41|
|HIP 70300 |14 23 02.2573|-39 30 42.358|  -24.32|  -21.81|    7.79|B2V         | 4.41|
|HIP 115102|23 18 49.4268|-32 31 54.609|   19.65|  -78.57|   18.24|K1III       | 4.41|
|HIP 115033|23 17 54.2036|-09 10 56.964|   19.63|   -9.64|   10.13|B5Vn        | 4.41|
|HIP 85693 |17 30 44.2980|+26 06 38.176|   18.39|   16.78|    8.88|K3IIIvar    | 4.41|
|HIP 87998 |17 58 30.1497|+30 11 21.368|   -0.48|    3.23|    4.10|F2II        | 4.41|
|HIP 34693 |07 11 08.3916|+30 14 43.010|  -31.00|  -48.40|   10.81|K2III       | 4.41|
|HIP 105138|21 17 55.0679|+34 53 48.772|   11.96|    6.85|    3.62|B2Vne       | 4.41|
|HIP 114222|23 07 53.8381|+75 23 15.293|    5.74|  -35.10|   14.83|G2III       | 4.41|
|HIP 34922 |07 13 32.2309|-44 38 25.906|  107.12|  325.32|   16.46|M5e         | 4.42|
|HIP 40326 |08 14 02.8871|-40 20 51.829|   44.84|  -65.79|   10.50|K1II/III    | 4.42|
|HIP 72571 |14 50 17.4667|-27 57 36.789| -237.37|  -62.37|   10.68|K3III       | 4.42|
|HIP 34981 |07 14 15.2164|-26 21 09.058|   -6.58|    3.89|    2.07|B3III       | 4.42|
|HIP 31700 |06 37 53.4259|-18 14 14.846|   -6.86|   -8.47|    7.03|K0II/III    | 4.42|
|HIP 88290 |18 01 45.1895|+01 18 18.394|   15.43|  -13.61|   12.31|A2Vn        | 4.42|
|HIP 77257 |15 46 26.7459|+07 21 11.663| -225.51|  -68.52|   85.08|G0Vvar      | 4.42|
|HIP 29038 |06 07 34.3219|+14 46 06.683|    4.95|  -21.18|    6.10|B3IV        | 4.42|
|HIP 53954 |11 02 19.7812|+20 10 47.085|   -9.60|   39.57|   26.37|A1m         | 4.42|
|HIP 115623|23 25 22.6614|+23 24 14.445|  193.12|   36.47|   18.83|F8IV        | 4.42|
|HIP 110538|22 23 33.6364|+52 13 46.198|  -13.56| -186.37|   19.21|G9III       | 4.42|
|HIP 98688 |20 02 39.4593|-27 42 35.567|   32.28|   14.35|    7.28|M4III       | 4.43|
|HIP 17593 |03 46 08.5024|-12 06 06.247|   55.59|   60.03|    6.56|M1III       | 4.43|
|HIP 19849 |04 15 17.6382|-07 38 40.410|-2239.33|-3419.86|  198.24|K1V         | 4.43|
|HIP 102624|20 47 44.2379|-05 01 39.371|   -3.30|  -40.24|    7.33|M3IIIvar    | 4.43|
|HIP 102281|20 43 27.5457|+15 04 28.856|  -19.61|  -41.74|   16.03|A7IIIp d Del| 4.43|
|HIP 100587|20 23 51.5960|+32 11 24.670|   35.71|   -5.81|   12.77|K3III       | 4.43|
|HIP 94481 |19 13 45.4887|+39 08 45.491|   -1.59|   -0.61|    3.13|B2.5IV      | 4.43|
|HIP 23040 |04 57 17.2204|+53 45 07.498|  -24.17|    7.53|    8.68|A1V         | 4.43|
|HIP 19921 |04 16 29.0835|-59 18 06.294|  -47.99| -167.81|   54.84|K2IV        | 4.44|
|HIP 71121 |14 32 37.0835|-50 27 25.637|  -29.55|  -14.85|    5.68|B2III       | 4.44|
|HIP 21770 |04 40 33.8231|-41 51 48.853| -141.18|  -74.95|   49.67|F2V         | 4.44|
|HIP 40091 |08 11 21.5002|-39 37 06.791|   -8.91|    3.10|    1.74|K4III       | 4.44|
|HIP 40706 |08 18 33.3932|-36 39 34.318| -111.27|  100.62|   35.06|A4m...      | 4.44|
|HIP 36795 |07 34 03.2060|-22 17 46.251|  -40.38|   46.84|   38.91|F6V         | 4.44|
|HIP 1170  |00 14 38.4327|-18 55 57.671|  -27.15|  -73.78|    6.62|M1III       | 4.44|
|HIP 3786  |00 48 40.8954|+07 35 06.727|   83.14|  -50.48|   10.69|K5III       | 4.44|
|HIP 95771 |19 28 42.4110|+24 39 54.593| -126.45| -106.99|   11.00|M0 comp     | 4.44|
|HIP 30060 |06 19 37.3908|+59 00 39.259|   -3.51|   24.43|   21.88|A2Vs        | 4.44|
|HIP 52633 |10 45 47.1358|-80 32 24.730|  -37.33|    6.19|    8.97|B2.5IV      | 4.45|
|HIP 51849 |10 35 35.3146|-57 33 27.488|  -15.43|   -0.16|    2.37|K3/K4II     | 4.45|
|HIP 44191 |09 00 05.4401|-41 15 13.456|  -40.67|   54.59|   16.19|Fp          | 4.45|
|HIP 13147 |02 49 05.3595|-32 24 22.623|   86.96|  158.96|   19.31|G8III       | 4.45|
|HIP 80975 |16 32 08.1866|-21 27 59.320|   20.21|   36.23|   18.66|Ap          | 4.45|
|HIP 24244 |05 12 17.8874|-11 52 08.914|   24.95|  -31.22|   13.53|B8V         | 4.45|
|HIP 55084 |11 16 39.7641|-03 39 05.451| -108.15|  -35.76|   16.69|A7IVn       | 4.45|
|HIP 42402 |08 38 45.4488|+03 20 29.309|  -19.03|  -16.29|    9.25|K2III       | 4.45|
|HIP 7884  |01 41 25.9076|+05 29 15.376|  -22.73|    3.61|    8.86|K3III       | 4.45|
|HIP 96229 |19 34 05.2277|+07 22 45.549|  212.76| -155.39|   29.50|K3III       | 4.45|
|HIP 29426 |06 11 56.3968|+14 12 31.731|   -1.59|  -20.23|    5.14|B3IV        | 4.45|
|HIP 94648 |19 15 33.2937|+73 21 18.772| -116.60|  104.25|   21.73|K3III       | 4.45|
|HIP 59173 |12 08 05.2563|-50 39 40.516|  -34.07|   -9.85|    8.68|B2IIIne     | 4.46|
|HIP 80582 |16 27 11.0478|-47 33 17.049|  -13.72|  -20.63|    8.16|B4V         | 4.46|
|HIP 112948|22 52 31.5579|-32 52 31.621|  -33.32|  -22.15|   14.67|A0III       | 4.46|
|HIP 54682 |11 11 39.4863|-22 49 32.183|    4.73|  -99.06|   12.26|A1V         | 4.46|
|HIP 18255 |03 54 17.4866|-02 57 17.041|   26.42|    1.49|    9.46|G8III       | 4.46|
|HIP 24331 |05 13 17.4796|+02 51 40.512|    3.05|    4.94|    9.49|K3III...    | 4.46|
|HIP 44901 |09 08 52.3857|+51 36 17.018| -137.81|  -32.48|   34.12|Am          | 4.46|
|HIP 11569 |02 29 03.9882|+67 24 08.582|  -27.92|   37.06|   23.04|A5p Sr      | 4.46|
|HIP 44599 |09 05 08.8303|-72 36 09.698|   -8.44|   -4.72|    7.18|F6II-III    | 4.47|
|HIP 38957 |07 58 14.4439|-49 14 41.743|   -7.48|    6.91|    2.80|B1Vp + B2   | 4.47|
|HIP 57803 |11 51 08.7516|-45 10 24.418|  -72.42|   -8.62|    7.03|K4III       | 4.47|
|HIP 109111|22 06 06.9036|-39 32 34.977|  -24.16| -125.17|   13.20|M0III       | 4.47|
|HIP 30788 |06 28 10.2175|-32 34 48.466|  -13.78|   24.24|    8.03|B4V         | 4.47|
|HIP 12843 |02 45 05.9815|-18 34 21.543|  330.93|   36.28|   71.56|F5/F6V      | 4.47|
|HIP 73165 |14 57 11.0568|-04 20 45.911|  -97.83| -154.56|   35.83|F0V         | 4.47|
|HIP 23123 |04 58 32.9029|+01 42 50.526|   -1.59|   -7.93|    3.42|K2IIvar     | 4.47|
|HIP 31216 |06 32 54.2296|+07 19 58.725|   -3.89|   -5.80|    2.16|A0Ib        | 4.47|
|HIP 104858|21 14 28.7901|+10 00 27.787|   42.32| -303.43|   54.11|F5V+...     | 4.47|
|HIP 46146 |09 24 39.2793|+26 10 56.787|  -31.13|  -48.06|   15.28|K2III       | 4.47|
|HIP 15549 |03 20 20.3663|+29 02 54.594|   -8.21|  -16.42|    5.09|K2II-III    | 4.47|
|HIP 71284 |14 34 40.6905|+29 44 41.306|  188.32|  132.72|   64.66|F3Vwvar     | 4.47|
|HIP 47006 |09 34 49.4949|+52 03 05.643|  -65.07|  -37.30|   12.21|A2V         | 4.47|
|HIP 18744 |04 00 53.8050|-62 09 33.729|    1.80|   34.95|    6.65|M4III       | 4.48|
|HIP 75323 |15 23 22.6578|-59 19 14.514|  -10.29|  -36.57|    6.40|B5III + F8  | 4.48|
|HIP 114119|23 06 40.8073|-23 44 35.220|   59.90|    0.53|   17.32|G8III       | 4.48|
|HIP 80343 |16 24 06.1973|-20 02 13.961|  -21.48|  -47.53|   18.32|K0III       | 4.48|
|HIP 49641 |10 07 56.2956|-00 22 17.860|  -26.17|   -3.65|   11.35|A0III       | 4.48|
|HIP 32578 |06 47 51.6568|+02 24 43.881|  -12.97|  -12.36|    8.74|K0III       | 4.48|
|HIP 113889|23 03 52.6065|+03 49 12.252|   12.86|  -10.13|    6.62|B6Ve        | 4.48|
|HIP 20713 |04 26 20.6717|+15 37 06.046|  114.66|  -33.30|   20.86|F0V...      | 4.48|
|HIP 3504  |00 44 43.5021|+48 17 03.777|   17.79|   -7.62|    3.60|B5III       | 4.48|
|HIP 118322|23 59 54.9101|-65 34 37.480|   48.63|  -22.33|    8.71|B9IV        | 4.49|
|HIP 34834 |07 12 33.7409|-46 45 34.432| -135.60|  106.79|   47.22|F0IV        | 4.49|
|HIP 38455 |07 52 38.6533|-38 51 46.159|   -9.49|    4.02|    5.09|B2V         | 4.49|
|HIP 21248 |04 33 30.6295|-29 45 56.995| -114.35| -271.56|   26.22|K0III       | 4.49|
|HIP 104234|21 07 07.6854|-25 00 20.693|  -27.19|  -43.37|    6.24|K5/M0III    | 4.49|
|HIP 116971|23 42 43.2849|-14 32 41.073|   98.35|  -66.78|   21.16|B9V         | 4.49|
|HIP 116928|23 42 02.8818|+01 46 49.502| -129.55| -154.87|   32.38|A7V         | 4.49|
|HIP 32249 |06 43 59.2941|+13 13 41.315|   -2.29|  -51.80|   11.82|K1III       | 4.49|
|HIP 71762 |14 40 43.5610|+16 25 05.885|    9.64|    9.46|   10.28|B9p MnHg    | 4.49|
|HIP 107310|21 44 08.4045|+28 44 35.600|  260.33| -242.73|   44.64|F6V         | 4.49|
|HIP 49593 |10 07 25.7251|+35 14 40.890|   50.97|    0.64|   35.78|A7V         | 4.49|
|HIP 96441 |19 36 26.5424|+50 13 13.668|   -8.15|  262.98|   53.78|F4V         | 4.49|
|HIP 9480  |02 01 57.5498|+70 54 25.366|  -54.46|  -10.69|   27.91|A3IV        | 4.49|
|HIP 43105 |08 46 42.5592|-56 46 11.270|   -9.40|    8.64|    5.97|B3Vne       | 4.50|
|HIP 27530 |05 49 49.5768|-56 09 59.359|   81.61|  -71.77|   18.78|K1III       | 4.50|
|HIP 50676 |10 20 54.8150|-56 02 35.606|  -18.15|    1.49|    2.34|B3III       | 4.50|
|HIP 109285|22 08 22.9532|-32 59 18.234|   80.05|  -28.88|   25.01|A2V         | 4.50|
|HIP 106039|21 28 43.3160|-21 48 25.800|  133.97|   -5.47|   18.18|K0III       | 4.50|
|HIP 104459|21 09 35.5928|-11 22 17.957|   92.31|  -15.76|   19.93|G8III       | 4.50|
|HIP 26594 |05 39 11.1459|+04 07 17.280|    0.76|    0.07|    2.01|B3IIIe      | 4.50|
|HIP 67275 |13 47 16.0366|+17 27 24.388| -480.33|   54.18|   64.12|F7V         | 4.50|
|HIP 57565 |11 47 59.2264|+20 13 08.188| -145.47|   -4.04|   14.40|A comp SB   | 4.50|
|HIP 99874 |20 15 46.1574|+27 48 51.223|  -34.37|    5.77|    9.94|K3III       | 4.50|
|HIP 109754|22 13 52.7015|+39 42 53.601|   37.65|   15.55|    5.79|K3III       | 4.50|
|HIP 111944|22 40 30.7824|+44 16 34.610|   94.18|   10.00|   10.81|K3III       | 4.50|
|HIP 110838|22 27 19.8731|-64 57 58.965|   68.68|   10.21|   12.21|B8V         | 4.51|
|HIP 47391 |09 39 21.0409|-61 19 41.179|  -34.89|   18.60|   14.57|B9V         | 4.51|
|HIP 102333|20 44 02.1867|-51 55 15.026|  155.49|  -53.64|   41.38|A6:var      | 4.51|
|HIP 46515 |09 29 14.7375|-35 57 04.852|  -24.74|    5.07|    4.66|K3III       | 4.51|
|HIP 106723|21 37 04.8228|-19 27 57.649|   13.48|    0.81|    4.92|B3V:p       | 4.51|
|HIP 76852 |15 41 33.0923|+19 40 13.820|  -59.86|  -43.23|   16.97|A1V         | 4.51|
|HIP 5586  |01 11 39.5867|+30 05 23.027|   74.29|  -37.61|   20.11|K0III-IV... | 4.51|
|HIP 1473  |00 18 19.7053|+36 47 07.178|  -66.51|  -42.48|   23.11|A2V         | 4.51|
|HIP 27483 |05 49 10.4595|+39 10 52.080|  -28.42|  -25.55|   15.34|G8III       | 4.51|
|HIP 117863|23 54 23.0373|+57 29 57.806|   -4.54|   -3.45|    0.28|F8Iavar     | 4.51|
|HIP 98702 |20 02 49.0472|+67 52 24.415|   16.43|   47.80|    8.02|K3III       | 4.51|
|HIP 65387 |13 24 00.4434|-64 32 08.221|   29.10|  -20.96|   12.69|G5III-IV    | 4.52|
|HIP 65271 |13 22 37.9798|-60 59 18.082|  -35.50|  -15.19|    9.20|B3V         | 4.52|
|HIP 89112 |18 11 13.7762|-45 57 15.577|  -16.28|  -37.26|    7.98|G5III       | 4.52|
|HIP 95176 |19 21 43.6220|-15 57 18.008|    1.79|   -6.27|    1.95|F2p         | 4.52|
|HIP 69974 |14 19 06.6019|-13 22 16.199|  -17.12|   29.39|   17.47|A1V         | 4.52|
|HIP 106140|21 29 56.8797|+23 38 19.785|   24.39|    3.52|    7.37|M1III       | 4.52|
|HIP 73745 |15 04 26.8571|+26 56 51.575| -176.31|   -4.52|   13.04|K2III       | 4.52|
|HIP 13061 |02 47 54.4415|+29 14 50.726|  148.42| -125.76|   18.06|K1III       | 4.52|
|HIP 111104|22 30 29.2616|+43 07 24.203|   -2.05|   -5.76|    2.38|B2IV        | 4.52|
|HIP 102431|20 45 21.1966|+57 34 49.073|  -62.95| -235.56|   36.87|F8IV-V      | 4.52|
|HIP 2487  |00 31 33.3552|-62 57 55.619|   87.95|  -45.79|   18.95|A2V         | 4.53|
|HIP 37096 |07 37 22.1200|-34 58 06.854|  -13.65|   16.53|    9.10|B8IV/V      | 4.53|
|HIP 87072 |17 47 33.6271|-27 49 50.745|   -3.62|  -10.67|    3.03|F7II        | 4.53|
|HIP 85365 |17 26 37.9351|-05 05 11.371|  -91.53|  -42.75|   33.28|F3V         | 4.53|
|HIP 28413 |06 00 03.3454|-03 04 26.677|    6.87|  -72.71|    7.77|K2IIIvar    | 4.53|
|HIP 102589|20 47 24.5270|+36 29 26.652|   14.93|   -8.20|    3.71|B6IV        | 4.53|
|HIP 3881  |00 49 48.8297|+41 04 44.237|   22.68|  -18.05|    4.80|B5V SB      | 4.53|
|HIP 114570|23 12 32.9229|+49 24 21.510|   89.78|   95.57|   40.82|F0V         | 4.53|
|HIP 69483 |14 13 28.9499|+51 47 23.966|   61.39|  -10.57|   21.03|A8IV        | 4.53|
|HIP 75304 |15 23 09.3633|-36 51 30.371|  -18.05|  -21.53|    5.38|B4V         | 4.54|
|HIP 98162 |19 56 56.8249|-27 10 11.505|    9.60|  -14.95|    2.70|K3III       | 4.54|
|HIP 31416 |06 35 03.3799|-22 57 53.399|   13.11|   16.52|    7.92|A0III       | 4.54|
|HIP 74392 |15 12 13.3122|-19 47 29.873|  -35.59|  -32.55|    8.66|Asp...      | 4.54|
|HIP 46776 |09 31 58.9348|-01 11 04.756|  -11.42|   -3.87|    7.11|A3V         | 4.54|
|HIP 114144|23 07 00.2558|+09 24 34.281|    6.73|  -12.76|   10.13|M2III       | 4.54|
|HIP 115919|23 29 09.2603|+12 45 37.773|   59.62|   25.18|   18.34|G8III       | 4.54|
|HIP 72659 |14 51 23.2842|+19 06 02.280|  152.81|  -71.28|  149.26|G8V + K4V   | 4.54|
|HIP 24727 |05 18 10.5481|+33 22 19.215|   29.86| -160.98|   13.92|K3III...    | 4.54|
|HIP 46952 |09 34 13.3770|+36 23 51.408|    6.82|  -22.89|   18.52|G8III       | 4.54|
|HIP 46977 |09 34 28.9679|+69 49 48.555|  -63.90|   77.59|   30.89|G4III-IV    | 4.54|
|HIP 76371 |15 35 53.2650|-44 57 30.013|  -20.42|  -21.48|    7.51|B3IVp       | 4.55|
|HIP 23595 |05 04 24.3118|-35 28 58.334|  126.17|  -44.36|   17.63|K2III       | 4.55|
|HIP 88839 |18 08 04.9630|-28 27 25.259|   24.77|  -31.59|    9.38|K0IIICNpvar | 4.55|
|HIP 80079 |16 20 38.1834|-24 10 09.423|   -4.23|  -14.71|    2.77|A4II/III    | 4.55|
|HIP 301   |00 03 44.3724|-17 20 09.492|   28.57|   -7.28|   14.31|B9IVn       | 4.55|
|HIP 36425 |07 29 47.7821|+12 00 23.800|    1.26|  -19.26|    5.82|K2III       | 4.55|
|HIP 110351|22 21 01.5283|+46 32 11.633|   21.72|    1.92|    6.40|B6V         | 4.55|
|HIP 110609|22 24 30.9957|+49 28 35.043|   -5.12|   -3.37|    1.54|B9Iab       | 4.55|
|HIP 48402 |09 52 06.3602|+54 03 51.429|   -4.21|   19.18|    7.47|A3IV        | 4.55|
|HIP 16281 |03 29 54.7460|+58 52 43.509|   -1.94|   -1.14|    1.32|A0Ia SB:    | 4.55|
|HIP 107119|21 41 55.0761|+71 18 40.273|  119.48|   94.49|   18.55|K0III       | 4.55|
|HIP 33694 |07 00 03.8480|+76 58 38.789|   73.18|  -13.88|   17.43|K4III       | 4.55|
|HIP 18597 |03 58 44.7375|-61 24 00.542|    9.79|  -14.39|    6.15|M2III       | 4.56|
|HIP 86092 |17 35 39.6113|-46 30 20.127|  -25.13|  -38.32|    8.46|A0V         | 4.56|
|HIP 70574 |14 26 08.2351|-45 13 17.004|  -13.51|  -14.02|    3.15|B2IV        | 4.56|
|HIP 54951 |11 15 12.2431|+23 05 43.891|  -22.24|   -9.48|    0.49|M3III       | 4.56|
|HIP 103004|20 52 07.7256|+27 05 49.660|  -72.33|  -60.95|   15.06|G8III       | 4.56|
|HIP 27830 |05 53 19.6436|+27 36 44.227|    3.82|   -9.58|    7.45|A0V         | 4.56|
|HIP 13328 |02 51 30.8309|+35 03 35.619|    9.29|  -63.02|    7.97|K5III       | 4.56|
|HIP 44700 |09 06 31.7881|+38 27 08.101|  -28.37|  -14.34|    4.81|G8Ib-II     | 4.56|
|HIP 104194|21 06 36.0881|+47 38 54.261|    6.51|   -0.99|    3.32|K4II        | 4.56|
|HIP 94005 |19 08 20.9330|-40 29 47.895|   48.05|  -26.84|   18.67|K1III       | 4.57|
|HIP 16870 |03 37 05.6781|-40 16 28.239|    2.77|  -14.23|   14.88|K0III       | 4.57|
|HIP 80473 |16 25 35.1211|-23 26 49.624|   -5.61|  -25.04|    8.27|B2V         | 4.57|
|HIP 80463 |16 25 24.9296|+14 02 00.295|   39.39|  -59.89|   13.87|B9p Cr      | 4.57|
|HIP 92818 |18 54 44.8812|+22 38 42.265|    6.40|    1.03|    6.71|G4III+...   | 4.57|
|HIP 97886 |19 53 27.6808|+24 04 46.292|   22.78|   36.29|    9.08|B9.5III     | 4.57|
|HIP 86614 |17 41 56.3070|+72 08 58.197|   26.60| -269.77|   45.38|F5IV-V      | 4.57|
|HIP 52468 |10 43 32.3077|-60 33 59.857|  -15.22|    3.12|    3.06|K3Ib        | 4.58|
|HIP 64425 |13 12 17.6293|-59 55 13.931|  -28.54|  -17.46|    9.42|B8V         | 4.58|
|HIP 48374 |09 51 40.6884|-46 32 51.519|  -24.41|    9.80|    3.01|G5Ib        | 4.58|
|HIP 79404 |16 12 18.2117|-27 55 34.736|  -10.31|  -23.17|    6.97|B2V         | 4.58|
|HIP 86284 |17 37 50.7198|-08 07 07.397|  -11.70|  -20.38|    5.94|B8II-IIIMNp | 4.58|
|HIP 26237 |05 35 23.1617|-04 50 18.026|    4.29|   -7.15|    4.15|B2III...    | 4.58|
|HIP 115250|23 20 38.2232|+23 44 25.293|   30.48|   -9.14|   19.50|A5V         | 4.58|
|HIP 67627 |13 51 25.9376|+64 43 23.818|    1.45|   -4.55|    8.33|M3III       | 4.58|
|HIP 54751 |11 12 36.0203|-60 19 03.471|   -6.23|    2.33|    0.26|A6Ia        | 4.59|
|HIP 50555 |10 19 36.7652|-55 01 45.532|  -14.79|    4.03|    2.19|K3II        | 4.59|
