|name      |ra           |dec          |pm_ra   |pm_dec  |parallax|spect_type  |vmag |
|HIP 26451 |05 37 38.6843|+21 08 33.335|    2.39|  -18.04|    7.82|B4IIIp      | 2.97|
|HIP 47908 |09 45 51.1024|+23 46 27.401|  -46.09|   -9.57|   13.01|G0II        | 2.97|
|HIP 88635 |18 05 48.5246|-30 25 25.140|  -55.75| -181.53|   33.94|K0III       | 2.98|
|HIP 87073 |17 47 35.0811|-40 07 37.135|    0.44|   -6.40|    1.82|F3Ia        | 2.99|
|HIP 64962 |13 18 55.2534|-23 10 17.085|   68.41|  -41.09|   24.69|G8III       | 2.99|
|HIP 93747 |19 05 24.6124|+13 51 49.355|   -7.04|  -95.31|   39.18|A0Vn        | 2.99|
|HIP 82514 |16 51 52.2389|-38 02 50.378|   -8.84|  -21.60|    3.97|B1.5IV + B  | 3.00|
|HIP 108085|21 53 55.6541|-37 21 53.362|   95.88|  -12.10|   16.07|B8III       | 3.00|
|HIP 10064 |02 09 32.5209|+34 59 14.611|  148.78|  -39.13|   26.24|A5III       | 3.00|
|HIP 54539 |11 09 39.8594|+44 29 54.792|  -62.35|  -27.38|   22.21|K1III       | 3.00|
|HIP 75097 |15 20 43.7492|+71 50 02.303|  -18.03|   17.68|    6.79|A3II-III    | 3.00|
|HIP 17358 |03 42 55.4821|+47 47 15.552|   23.83|  -41.93|    6.18|B5III SB    | 3.01|
|HIP 30122 |06 20 18.7872|-30 03 48.156|    8.00|    3.81|    9.70|B2.5V       | 3.02|
|HIP 33977 |07 03 01.4736|-23 49 59.885|   -1.56|    4.28|    1.27|B3Ia        | 3.02|
|HIP 59316 |12 10 07.5259|-22 37 11.252|  -71.52|   10.55|   10.75|K2III       | 3.02|
|HIP 23416 |05 01 58.1340|+43 49 23.930|    0.18|   -2.31|    1.60|F0Ia        | 3.03|
|HIP 62322 |12 46 16.8696|-68 06 29.139|  -40.40|  -10.32|   10.48|B2V         | 3.04|
|HIP 71075 |14 32 04.7578|+38 18 28.381| -115.55|  151.87|   38.29|A7IIIvar    | 3.04|
|HIP 100345|20 21 00.6464|-14 46 53.044|   48.42|   14.00|    9.48|A5:n        | 3.05|
|HIP 95947 |19 30 43.2853|+27 57 34.901|   -7.09|   -5.63|    8.46|K3II+...    | 3.05|
|HIP 32246 |06 43 55.9298|+25 07 52.159|   -5.93|  -12.81|    3.61|A3mA6-A9    | 3.06|
|HIP 50801 |10 22 19.8033|+41 29 57.961|  -80.47|   34.10|   13.11|M0III SB    | 3.06|
|HIP 94376 |19 12 33.1550|+67 39 40.741|   94.49|   92.30|   32.54|G9III       | 3.07|
|HIP 89642 |18 17 37.7292|-36 45 40.612| -129.27| -166.61|   21.87|M2III       | 3.10|
|HIP 56561 |11 35 46.9283|-63 01 11.370|  -33.84|   -6.87|    7.96|B9II:       | 3.11|
|HIP 101772|20 37 33.9897|-47 17 29.985|   49.20|   66.07|   32.21|K0III       | 3.11|
|HIP 52943 |10 49 37.4321|-16 11 38.875|   92.77|  199.02|   23.54|K0/K1III    | 3.11|
|HIP 43813 |08 55 23.6848|+05 56 43.900|  -99.76|   14.65|   21.64|G8III-IV    | 3.11|
